id,label,birth_date,defining_rfcs,source
OSPFIGP,OSPFIGP,1994-03-01,"RFC1583,RFC2328,RFC5340",RFC Editor (rfc-index.xml)
PGM,PGM,2001-12-01,RFC3208,RFC Editor (rfc-index.xml)
PIM,PIM,1997-06-01,"RFC2117,RFC7761",RFC Editor (rfc-index.xml)
PRM,PRM,1991-11-01,"RFC1273,RFC2063,RFC2064,RFC2123,RFC2720,RFC2722,RFC8913",RFC Editor (rfc-index.xml)
PTP,PTP,2017-06-01,RFC8173,RFC Editor (rfc-index.xml)
PVP,PVP,2005-07-01,RFC4110,RFC Editor (rfc-index.xml)
RDP,RDP,1984-07-01,"RFC908,RFC9697",RFC Editor (rfc-index.xml)
ROHC,ROHC,2001-07-01,"RFC3095,RFC5858",RFC Editor (rfc-index.xml)
RSVP,RSVP,1997-09-01,"RFC2205,RFC3209",RFC Editor (rfc-index.xml)
RSVP-E2E-IGNORE,RSVP-E2E-IGNORE,1997-09-01,"RFC2210,RFC3175",RFC Editor (rfc-index.xml)
RVD,RVD,2023-11-01,"RFC9481,RFC9507,RFC9508,RFC9523",RFC Editor (rfc-index.xml)
SAT-MON,SAT-MON,1990-04-01,"RFC1147,RFC1271,RFC1470",RFC Editor (rfc-index.xml)
SCC-SP,SCC-SP,2003-07-01,RFC3557,RFC Editor (rfc-index.xml)
SCTP,SCTP,2000-10-01,RFC2960,RFC Editor (rfc-index.xml)
SDRP,SDRP,1996-05-01,RFC1940,RFC Editor (rfc-index.xml)
SHIM6,SHIM6,2009-06-01,RFC5533,RFC Editor (rfc-index.xml)
SM,SM,2022-06-01,RFC9260,RFC Editor (rfc-index.xml)
SMP,SMP,2002-06-01,"RFC3292,RFC3295",RFC Editor (rfc-index.xml)
SPRITE-RPC,SPRITE-RPC,1991-08-01,"RFC1250,RFC8864,RFC9523,RFC9537",RFC Editor (rfc-index.xml)
SRP,SRP,2007-09-01,RFC4975,RFC Editor (rfc-index.xml)
ST,ST,1990-10-01,"RFC1190,RFC1819",RFC Editor (rfc-index.xml)
SWIPE,SWIPE,1991-03-01,RFC1211,RFC Editor (rfc-index.xml)
TCP,TCP,2022-08-01,"RFC9293,RFC9740",RFC Editor (rfc-index.xml)
TLSP,TLSP,2016-08-01,RFC7919,RFC Editor (rfc-index.xml)
TP,TP,2017-05-01,"RFC8088,RFC8460,RFC9651",RFC Editor (rfc-index.xml)
TRUNK-2,TRUNK-2,2007-06-01,RFC4904,RFC Editor (rfc-index.xml)
UDP,UDP,1980-08-01,"RFC768,RFC1002,RFC2508,RFC3095,RFC9946",RFC Editor (rfc-index.xml)
UDPLITE,UDPLITE,2004-07-01,RFC3828,RFC Editor (rfc-index.xml)
UTI,UTI,2024-09-01,RFC9616,RFC Editor (rfc-index.xml)
VISA,VISA,1993-03-01,"RFC1436,RFC9481",RFC Editor (rfc-index.xml)
VMTP,VMTP,1988-02-01,RFC1045,RFC Editor (rfc-index.xml)
VRRP,VRRP,2023-11-01,"RFC9481,RFC9568",RFC Editor (rfc-index.xml)
WB-EXPAK,WB-EXPAK,2006-01-01,"RFC4348,RFC4352,RFC4424,RFC4867,RFC5188",RFC Editor (rfc-index.xml)
WB-MON,WB-MON,1990-04-01,"RFC1147,RFC1271,RFC1470",RFC Editor (rfc-index.xml)
WESP,WESP,2010-04-01,RFC5840,RFC Editor (rfc-index.xml)
WSN,WSN,1972-08-01,"RFC376,RFC9438",RFC Editor (rfc-index.xml)
XNET,XNET,1975-04-01,"RFC685,RFC909,RFC3707,RFC5128,RFC5265,RFC5330,RFC6806",RFC Editor (rfc-index.xml)
