id,label,birth_date,defining_rfcs,description,source
IRIS-LWZ,IRIS-LWZ,2007-08-01,RFC4993,IRIS-LWZ,RFC Editor (rfc-index.xml)
IRIS-XPCS,IRIS-XPCS,2007-08-01,RFC4992,IRIS over XPCS,RFC Editor (rfc-index.xml)
ISAKMP,ISAKMP,1998-11-01,"RFC2407,RFC2408",isakmp,RFC Editor (rfc-index.xml)
ISCSI,ISCSI,2014-04-01,RFC7143,iSCSI,RFC Editor (rfc-index.xml)
ISO-TP0,ISO-TP0,1988-12-01,RFC1086,ISO-IP0,RFC Editor (rfc-index.xml)
ISO-TSAP,ISO-TSAP,1995-10-01,RFC1859,ISO-TSAP Class 0,RFC Editor (rfc-index.xml)
ISO-TSAP-C2,ISO-TSAP-C2,1995-10-01,RFC1859,ISO Transport Class 2 Non-Control over UDP,RFC Editor (rfc-index.xml)
KERBEROS,KERBEROS,2005-07-01,RFC4120,Kerberos,RFC Editor (rfc-index.xml)
KINK,KINK,2006-03-01,RFC4430,Kerberized Internet Negotiation of Keys (KINK),RFC Editor (rfc-index.xml)
LDAP,LDAP,1996-06-01,"RFC1959,RFC2255",Lightweight Directory Access Protocol,RFC Editor (rfc-index.xml)
LMP,LMP,2005-10-01,RFC4204,Link Management Protocol (LMP),RFC Editor (rfc-index.xml)
MANET,MANET,2009-03-01,RFC5498,MANET Protocols,RFC Editor (rfc-index.xml)
MATIP-TYPE-A,MATIP-TYPE-A,1998-05-01,RFC2351,MATIP Type A,RFC Editor (rfc-index.xml)
MATIP-TYPE-B,MATIP-TYPE-B,1998-05-01,RFC2351,MATIP Type B,RFC Editor (rfc-index.xml)
MDBS-DAEMON,MDBS-DAEMON,1990-03-01,"RFC1060,RFC1340,RFC1700","IANA assigned this well-formed service name as a replacement for ""mdbs_daemon"".",RFC Editor (rfc-index.xml)
MPP,MPP,1991-02-01,RFC1204,Netix Message Posting Protocol,RFC Editor (rfc-index.xml)
MSDP,MSDP,2003-10-01,RFC3618,MSDP,RFC Editor (rfc-index.xml)
NAS,NAS,2006-10-01,RFC4707,Netnews Administration System,RFC Editor (rfc-index.xml)
NETCONF-SSH,NETCONF-SSH,2011-06-01,RFC6242,NETCONF over SSH,RFC Editor (rfc-index.xml)
NICNAME,NICNAME,1982-03-01,"RFC812,RFC954",Who Is,RFC Editor (rfc-index.xml)
NNSP,NNSP,2006-10-01,RFC3977,NNTP for transit servers (NNSP),RFC Editor (rfc-index.xml)
NNTP,NNTP,2006-10-01,RFC3977,Network News Transfer Protocol,RFC Editor (rfc-index.xml)
NNTPS,NNTPS,2006-10-01,RFC4642,nntp protocol over TLS/SSL (was snntp),RFC Editor (rfc-index.xml)
NTP,NTP,2010-06-01,RFC5905,Network Time Protocol,RFC Editor (rfc-index.xml)
OCS-AMU,OCS-AMU,1994-10-01,RFC1700,"OCS_AMU
IANA assigned this well-formed service name as a replacement for ""ocs_amu"".",RFC Editor (rfc-index.xml)
OCS-CMU,OCS-CMU,1994-10-01,RFC1700,"OCS_CMU
IANA assigned this well-formed service name as a replacement for ""ocs_cmu"".",RFC Editor (rfc-index.xml)
ODMR,ODMR,1999-08-01,RFC2645,ODMR,RFC Editor (rfc-index.xml)
OLSR,OLSR,2003-10-01,RFC3626,OLSR,RFC Editor (rfc-index.xml)
OWAMP-CONTROL,OWAMP-CONTROL,2006-09-01,RFC4656,OWAMP-Control,RFC Editor (rfc-index.xml)
OWAMP-TEST,OWAMP-TEST,2019-03-01,RFC8545,OWAMP-Test,RFC Editor (rfc-index.xml)
PANA,PANA,2008-05-01,RFC5191,PANA Messages,RFC Editor (rfc-index.xml)
PHOTURIS,PHOTURIS,1999-03-01,RFC2522,proturis,RFC Editor (rfc-index.xml)
POP2,POP2,1985-02-01,RFC937,Post Office Protocol - Version 2,RFC Editor (rfc-index.xml)
POP3,POP3,1993-06-01,"RFC1460,RFC1725,RFC1939",Post Office Protocol - Version 3,RFC Editor (rfc-index.xml)
POP3S,POP3S,2018-01-01,RFC8314,POP3 over TLS protocol,RFC Editor (rfc-index.xml)
