Service Name,Port Number,Transport Protocol,Description,Datatracker title query,Assignee,IANA Reference,IANA RFC numbers (parsed),Datatracker RFC numbers,Datatracker RFC titles,Datatracker hits (JSON)
whois++,63,udp,whois++,whois++,[Rickard_Schoultz],,,RFC1914; RFC1913,How to Interact with a Whois++ Mesh | Architecture of the Whois++ Index Service,"[{""rfc_number"": 1914, ""title"": ""How to Interact with a Whois++ Mesh"", ""name"": ""rfc1914""}, {""rfc_number"": 1913, ""title"": ""Architecture of the Whois++ Index Service"", ""name"": ""rfc1913""}]"
sql-net,66,tcp,"Oracle SQL*NET
IANA assigned this well-formed service name as a replacement for ""sql*net"".","Oracle SQL*NET IANA assigned this well-formed service name as a replacement for ""sql*net"".",[Jack_Haverty],,,RFC1700; RFC1340,Assigned Numbers | Assigned Numbers,"[{""rfc_number"": 1700, ""title"": ""Assigned Numbers"", ""name"": ""rfc1700""}, {""rfc_number"": 1340, ""title"": ""Assigned Numbers"", ""name"": ""rfc1340""}]"
sql-net,66,udp,"Oracle SQL*NET
IANA assigned this well-formed service name as a replacement for ""sql*net"".","Oracle SQL*NET IANA assigned this well-formed service name as a replacement for ""sql*net"".",[Jack_Haverty],,,RFC1700; RFC1340,Assigned Numbers | Assigned Numbers,"[{""rfc_number"": 1700, ""title"": ""Assigned Numbers"", ""name"": ""rfc1700""}, {""rfc_number"": 1340, ""title"": ""Assigned Numbers"", ""name"": ""rfc1340""}]"
bootps,67,tcp,Bootstrap Protocol Server,Bootstrap Protocol Server,[Bill_Croft],[RFC951],RFC951,,,[]
gopher,70,tcp,Gopher,Gopher,[Mark_McCahill],,,RFC1436,The Internet Gopher Protocol (a distributed document search and retrieval protocol),"[{""rfc_number"": 1436, ""title"": ""The Internet Gopher Protocol (a distributed document search and retrieval protocol)"", ""name"": ""rfc1436""}]"
gopher,70,udp,Gopher,Gopher,[Mark_McCahill],,,RFC1436,The Internet Gopher Protocol (a distributed document search and retrieval protocol),"[{""rfc_number"": 1436, ""title"": ""The Internet Gopher Protocol (a distributed document search and retrieval protocol)"", ""name"": ""rfc1436""}]"
finger,79,tcp,Finger,Finger,[David_Zimmerman],,,RFC1288; RFC1196; RFC1194,The Finger User Information Protocol | Finger User Information Protocol | Finger User Information Protocol,"[{""rfc_number"": 1288, ""title"": ""The Finger User Information Protocol"", ""name"": ""rfc1288""}, {""rfc_number"": 1196, ""title"": ""Finger User Information Protocol"", ""name"": ""rfc1196""}, {""rfc_number"": 1194, ""title"": ""Finger User Information Protocol"", ""name"": ""rfc1194""}]"
finger,79,udp,Finger,Finger,[David_Zimmerman],,,RFC1288; RFC1196; RFC1194,The Finger User Information Protocol | Finger User Information Protocol | Finger User Information Protocol,"[{""rfc_number"": 1288, ""title"": ""The Finger User Information Protocol"", ""name"": ""rfc1288""}, {""rfc_number"": 1196, ""title"": ""Finger User Information Protocol"", ""name"": ""rfc1196""}, {""rfc_number"": 1194, ""title"": ""Finger User Information Protocol"", ""name"": ""rfc1194""}]"
http,80,tcp,World Wide Web HTTP,World Wide Web HTTP,[IESG],[RFC9110],RFC9110,,,[]
http,80,udp,World Wide Web HTTP,World Wide Web HTTP,[IESG],[RFC9110],RFC9110,,,[]
www,80,tcp,World Wide Web HTTP,World Wide Web HTTP,[IESG],[RFC9110],RFC9110,,,[]
www,80,udp,World Wide Web HTTP,World Wide Web HTTP,[IESG],[RFC9110],RFC9110,,,[]
www-http,80,tcp,World Wide Web HTTP,World Wide Web HTTP,[Tim_Berners_Lee],,,RFC9505; RFC6948,A Survey of Worldwide Censorship Techniques | Some Measurements on World IPv6 Day from an End-User Perspective,"[{""rfc_number"": 9505, ""title"": ""A Survey of Worldwide Censorship Techniques"", ""name"": ""rfc9505""}, {""rfc_number"": 6948, ""title"": ""Some Measurements on World IPv6 Day from an End-User Perspective"", ""name"": ""rfc6948""}]"
www-http,80,udp,World Wide Web HTTP,World Wide Web HTTP,[Tim_Berners_Lee],,,RFC9505; RFC6948,A Survey of Worldwide Censorship Techniques | Some Measurements on World IPv6 Day from an End-User Perspective,"[{""rfc_number"": 9505, ""title"": ""A Survey of Worldwide Censorship Techniques"", ""name"": ""rfc9505""}, {""rfc_number"": 6948, ""title"": ""Some Measurements on World IPv6 Day from an End-User Perspective"", ""name"": ""rfc6948""}]"
http,80,sctp,HTTP,World Wide Web HTTP,[Randall_Stewart],[RFC9260],RFC9260,,,[]
kerberos,88,tcp,Kerberos,Kerberos,[B_Clifford_Neuman],[RFC4120],RFC4120,,,[]
kerberos,88,udp,Kerberos,Kerberos,[B_Clifford_Neuman],[RFC4120],RFC4120,,,[]
