Service Name,Port Number,Transport Protocol,Description,Datatracker title query,Assignee,IANA Reference,IANA RFC numbers (parsed),Datatracker RFC numbers,Datatracker RFC titles,Datatracker hits (JSON)
iso-tsap-c2,399,udp,ISO Transport Class 2 Non-Control over UDP,ISO Transport Class 2 Non-Control over UDP,[Yanick_Pouffary],,,RFC1859,ISO Transport Class 2 Non-use of Explicit Flow Control over TCP RFC1006 extension,"[{""rfc_number"": 1859, ""title"": ""ISO Transport Class 2 Non-use of Explicit Flow Control over TCP RFC1006 extension"", ""name"": ""rfc1859""}]"
ocs-cmu,428,tcp,"OCS_CMU
IANA assigned this well-formed service name as a replacement for ""ocs_cmu"".","OCS_CMU IANA assigned this well-formed service name as a replacement for ""ocs_cmu"".",,,,RFC1700,Assigned Numbers,"[{""rfc_number"": 1700, ""title"": ""Assigned Numbers"", ""name"": ""rfc1700""}]"
ocs-cmu,428,udp,"OCS_CMU
IANA assigned this well-formed service name as a replacement for ""ocs_cmu"".","OCS_CMU IANA assigned this well-formed service name as a replacement for ""ocs_cmu"".",,,,RFC1700,Assigned Numbers,"[{""rfc_number"": 1700, ""title"": ""Assigned Numbers"", ""name"": ""rfc1700""}]"
ocs-amu,429,tcp,"OCS_AMU
IANA assigned this well-formed service name as a replacement for ""ocs_amu"".","OCS_AMU IANA assigned this well-formed service name as a replacement for ""ocs_amu"".",[Florence_Wyman],,,RFC1700,Assigned Numbers,"[{""rfc_number"": 1700, ""title"": ""Assigned Numbers"", ""name"": ""rfc1700""}]"
ocs-amu,429,udp,"OCS_AMU
IANA assigned this well-formed service name as a replacement for ""ocs_amu"".","OCS_AMU IANA assigned this well-formed service name as a replacement for ""ocs_amu"".",[Florence_Wyman],,,RFC1700,Assigned Numbers,"[{""rfc_number"": 1700, ""title"": ""Assigned Numbers"", ""name"": ""rfc1700""}]"
nnsp,433,tcp,NNTP for transit servers (NNSP),NNTP for transit servers (NNSP),[IESG],[RFC3977],RFC3977,,,[]
nnsp,433,udp,NNTP for transit servers (NNSP),NNTP for transit servers (NNSP),[IESG],[RFC3977],RFC3977,,,[]
cvc-hostd,442,tcp,"cvc_hostd
IANA assigned this well-formed service name as a replacement for ""cvc_hostd"".","cvc_hostd IANA assigned this well-formed service name as a replacement for ""cvc_hostd"".",[Bill_Davidson],,,RFC1700,Assigned Numbers,"[{""rfc_number"": 1700, ""title"": ""Assigned Numbers"", ""name"": ""rfc1700""}]"
cvc-hostd,442,udp,"cvc_hostd
IANA assigned this well-formed service name as a replacement for ""cvc_hostd"".","cvc_hostd IANA assigned this well-formed service name as a replacement for ""cvc_hostd"".",[Bill_Davidson],,,RFC1700,Assigned Numbers,"[{""rfc_number"": 1700, ""title"": ""Assigned Numbers"", ""name"": ""rfc1700""}]"
https,443,tcp,http protocol over TLS/SSL,http protocol over TLS/SSL,[IESG],[RFC9110],RFC9110,,,[]
https,443,udp,http protocol over TLS/SSL,http protocol over TLS/SSL,[IESG],[RFC9110],RFC9110,,,[]
https,443,sctp,HTTPS,http protocol over TLS/SSL,[Randall_Stewart],[RFC9260],RFC9260,,,[]
snpp,444,tcp,Simple Network Paging Protocol,Simple Network Paging Protocol,,[RFC1568],RFC1568,,,[]
snpp,444,udp,Simple Network Paging Protocol,Simple Network Paging Protocol,,[RFC1568],RFC1568,,,[]
submissions,465,tcp,Message Submission over TLS protocol,Message Submission over TLS protocol,[IESG],[RFC8314],RFC8314,,,[]
photuris,468,tcp,proturis,proturis,[Bill_Simpson_2],,,RFC2522,Photuris: Session-Key Management Protocol,"[{""rfc_number"": 2522, ""title"": ""Photuris: Session-Key Management Protocol"", ""name"": ""rfc2522""}]"
photuris,468,udp,proturis,proturis,[Bill_Simpson_2],,,RFC2522,Photuris: Session-Key Management Protocol,"[{""rfc_number"": 2522, ""title"": ""Photuris: Session-Key Management Protocol"", ""name"": ""rfc2522""}]"
isakmp,500,tcp,isakmp,isakmp,[Mark_Schertler],,,RFC2408; RFC2407,Internet Security Association and Key Management Protocol (ISAKMP) | The Internet IP Security Domain of Interpretation for ISAKMP,"[{""rfc_number"": 2408, ""title"": ""Internet Security Association and Key Management Protocol (ISAKMP)"", ""name"": ""rfc2408""}, {""rfc_number"": 2407, ""title"": ""The Internet IP Security Domain of Interpretation for ISAKMP"", ""name"": ""rfc2407""}]"
isakmp,500,udp,isakmp,isakmp,[Mark_Schertler],,,RFC2408; RFC2407,Internet Security Association and Key Management Protocol (ISAKMP) | The Internet IP Security Domain of Interpretation for ISAKMP,"[{""rfc_number"": 2408, ""title"": ""Internet Security Association and Key Management Protocol (ISAKMP)"", ""name"": ""rfc2408""}, {""rfc_number"": 2407, ""title"": ""The Internet IP Security Domain of Interpretation for ISAKMP"", ""name"": ""rfc2407""}]"
syslog,514,udp,,syslog,,[RFC5426],RFC5426,,,[]
